var_orig,label_orig,type_orig,n_distinct,n_missing,taux_na,module,var_new,label_new,type_new,keep,notes
I_10,I.10 Quel est le principal type d'enseignement suivi par le chef de ménage ?,str,6,0,0.0,I,type_enseignement_cm,Type d enseignement suivi par le CM,factor,yes,
I_10_other,Specify other.,str,15,0,0.0,I,type_enseignement_cm_other,Autre type enseignement (texte),character,no,
I_11,I.11 Quel est le niveau d'instruction le plus élévé du chef de ménage ?,object,4,779,0.3149,I,niveau_instruction_cm,Niveau d instruction du CM,factor,yes,
I_12_1,I.12.1 Le chef de ménage est-il alphabétisé en français ?,int64,3,0,0.0,I,alpha_francais,CM alphabetise en francais,factor,yes,
I_12_2,I.12.2 Le chef de ménage est-il alphabétisé en anglais ?,int64,3,0,0.0,I,alpha_anglais,CM alphabetise en anglais,factor,yes,
I_12_3,I.12.3 Le chef de ménage est-il alphabétisé en arabe ?,int64,3,0,0.0,I,alpha_arabe,CM alphabetise en arabe,factor,yes,
I_12_4,I.12.3 Le chef de ménage est-il alphabétisé en langue nationale ?,int64,3,0,0.0,I,alpha_langue_nat,CM alphabetise en langue nationale,factor,yes,
I_12_5,I.12.4 Le chef de ménage est-il alphabétisé en une autre langue étrangère ?,int64,3,0,0.0,I,alpha_autre_langue,CM alphabetise autre langue etrangere,factor,yes,
II_1,II.1 Quelles sont les sources de déchets solides du ménage (ne pas lister les,str,63,0,0.0,II,sources_dechets_raw,Sources de dechets (question multi-choix parent),character,no,
_v1,II_1/Consommation alimentaire/Cuisine,int64,2,0,0.0,II,src_alim,Source: Consommation alimentaire/Cuisine,numeric,yes,
_v2,II_1/Gestion du foyer (hors alimentation),int64,2,0,0.0,II,src_foyer,Source: Gestion foyer (hors alimentation),numeric,yes,
_v3,II_1/Élevage,int64,2,0,0.0,II,src_elevage,Source: Elevage,numeric,yes,
_v4,II_1/Animaux domestiques,int64,2,0,0.0,II,src_animal,Source: Animaux domestiques,numeric,yes,
_v5,II_1/Entretien du logement,int64,2,0,0.0,II,src_entretien,Source: Entretien du logement,numeric,yes,
_v6,II_1/Autres activités de production réalisées dans le ménage / commerce,int64,2,0,0.0,II,src_commerce,Source: Commerce/production menage,numeric,yes,
_v7,II_1/Other,int64,2,0,0.0,II,src_autre,Source: Autre,numeric,yes,
II_1_other,Specify other.,str,25,0,0.0,II,sources_dechets_other,Autre source (texte),character,no,
II_2,II.2 De quelle nature sont les déchets solides du ménage (ne pas lister les mo,str,243,0,0.0,II,nature_dechets_raw,Nature des dechets (multi-choix parent),character,no,
_v8,II_2/Plastiques,int64,2,0,0.0,II,nat_plastique,Nature: Plastiques,numeric,yes,
_v9,II_2/Papier/Carton,int64,2,0,0.0,II,nat_papier_carton,Nature: Papier/Carton,numeric,yes,
_v10,II_2/Restes d'aliments (crus et cuits),int64,2,0,0.0,II,nat_restes_alim,Nature: Restes d aliments,numeric,yes,
_v11,II_2/Vêtements/tissus,int64,2,0,0.0,II,nat_vetements,Nature: Vetements/tissus,numeric,yes,
_v12,"II_2/Déchets électroménagers (télé, ampoule, écouteur, …)",int64,2,0,0.0,II,nat_electromenager,Nature: Dechets electromenagers,numeric,yes,
_v13,"II_2/Déchets verts (Feuilles, branches, …)",int64,2,0,0.0,II,nat_dechets_verts,Nature: Dechets verts,numeric,yes,
_v14,"II_2/Métal (canettes, boites de concerves, …)",int64,2,0,0.0,II,nat_metal,Nature: Metal,numeric,yes,
_v15,II_2/Excréments d'animaux,int64,2,0,0.0,II,nat_excrements,Nature: Excrements d animaux,numeric,yes,
_v16,II_2/Médicaments,int64,2,0,0.0,II,nat_medicaments,Nature: Medicaments,numeric,yes,
_v17,II_2/Other,int64,2,0,0.0,II,nat_autre,Nature: Autre,numeric,yes,
II_2_other,Specify other.,str,28,0,0.0,II,nature_dechets_other,Autre nature (texte),character,no,
II_3,II.3 Quel type d'objet utilisez-vous principalement pour stocker les déchets ?,str,6,0,0.0,II,type_conteneur_stockage,Type objet stockage dechets,factor,yes,
II_3_other,Specify other.,str,14,0,0.0,II,type_conteneur_other,Autre conteneur (texte),character,no,
II_4,II.4 Cet objet est-il d'habitude fermé ou couvert ?,int64,2,0,0.0,II,qualite_conteneur_ferme,Conteneur ferme/couvert,factor,yes,
II_5,II.5 Quelle est sa place habituelle dans le logement ?,str,5,0,0.0,II,lieu_stockage,Lieu habituel de stockage dans logement,factor,yes,
II_5_other,Specify other.,str,30,0,0.0,II,lieu_stockage_other,Autre lieu stockage (texte),character,no,
II_6,II.6 L'objet peut-il contenir toutes les ordures que vous voudrez stocker avant,int64,2,0,0.0,II,capacite_conteneur_suffisante,Conteneur suffisant pour toutes les ordures,factor,yes,
II_7,II.7 Procédez-vous au tri des déchets solides avant leur évacuation ?,int64,2,0,0.0,II,pratique_tri,Pratique le tri avant evacuation,factor,yes,
II_8,II.8 Vous arrive-t-il de revendre une partie de vos déchets solides ?,int64,2,0,0.0,II,pratique_revente,Revente d une partie des dechets,factor,yes,
II_9,"II.9 Si oui, quels sont les types de déchets que vous stockez pour la revente ?",str,13,0,0.0,II,types_dechets_revente_raw,Types de dechets revendus (multi-choix parent),character,no,
_v18,II_9/Journaux,object,2,2313,0.9349,II,rev_journaux,Revente: Journaux,numeric,yes,
_v19,II_9/Verre,object,2,2313,0.9349,II,rev_verre,Revente: Verre,numeric,yes,
_v20,II_9/Ferraille,object,2,2313,0.9349,II,rev_ferraille,Revente: Ferraille,numeric,yes,
_v21,II_9/Plastique,object,2,2313,0.9349,II,rev_plastique,Revente: Plastique,numeric,yes,
_v22,II_9/Other,object,2,2313,0.9349,II,rev_autre,Revente: Autre,numeric,yes,
II_9_other,Specify other.,str,17,0,0.0,II,revente_other,Autre dechet revendu (texte),character,no,
II_10,"II.10 Si non, pourquoi ne revendez-vous pas vos déchets ?",object,5,161,0.0651,II,raison_non_revente,Raison de non-revente des dechets,factor,yes,
II_11,II.11 Quelle proportion des déchets le ménage traite-t-il par lui-même ?,int64,3,0,0.0,II,proportion_traitement_auto,Proportion traitee en autonomie,factor,yes,
II_12_1,"II.12.1 Pratiquez vous l'enfouissement sur la partie restante (non reutilisée,",object,3,2200,0.8892,II,pratique_enfouissement,Pratique l enfouissement,factor,yes,
II_12_2,II.12.2 Pratiquez vous l'incineration (en les brulant) sur la partie restante (n,object,3,2231,0.9018,II,pratique_incineration,Pratique l incineration (brulage),factor,yes,
II_12_3,"II.12.3 Pratiquez vous le recyclage sur la partie restante (non reutilisée, non",object,3,2246,0.9078,II,pratique_recyclage,Pratique le recyclage,factor,yes,
II_12_4,"II.12.4 Pratiquez vous le compostage sur la partie restante (non reutilisée, no",object,3,2254,0.9111,II,pratique_compostage,Pratique le compostage,factor,yes,
II_13,II.13 Les déchets du ménage sont ils évacués par les bennes tasseuses (camio,object,6,314,0.1269,II,acces_benne_tasseuse,Acces au service de benne tasseuse (public),factor,yes,
II_14,"II.14 Si oui, est-ce le service que vous utilisez le plus ?",object,2,572,0.2312,II,benne_service_principal,La benne est le service principal utilise,factor,yes,
II_15,II.15 Qui dans le menage est en general chargé de l'evaluation des dechets (vid,object,7,665,0.2688,II,responsable_evacuation,Personne chargee de l evacuation des dechets,factor,yes,
II_16,"II.16 Si Oui, comment appréciez-vous la distance qui vous sépare du point de c",object,3,665,0.2688,II,distance_point_collecte,Distance au point de collecte,factor,yes,
II_17,II.17 Ce point de collecte est-il nettoyé régulièrement par les collecteurs a,object,2,665,0.2688,II,point_collecte_nettoye,Point de collecte nettoye regulierement,factor,yes,
II_18,II.18 L'heure du passage du véhicule de ramassage convient-elle aux membres du,object,2,665,0.2688,II,heure_passage_convenable,Heure de passage du vehicule convenable,factor,yes,
II_19,II.19 Comment les membres du ménage jugent-ils la fréquence de passage de la b,object,2,665,0.2688,II,freq_collecte,Frequence de passage de la benne,factor,yes,
II_20,"II.20 Globalement, comment appréciez-vous le service de collecte des ordures pa",object,4,665,0.2688,II,satisfaction_collecte,Satisfaction globale service de collecte,factor,yes,
II_21,"II.21 Si ""Mauvais"" ou ""Très mauvais"", pourquoi ?",str,193,0,0.0,II,raison_insatisfaction_collecte,Raison insatisfaction service collecte,factor,yes,
II_22,"II.22 Si non, quels autres services utilisez-vous par la collecte de vos déchet",str,5,0,0.0,II,service_alternatif,Autre service d evacuation utilise,factor,yes,
II_22_other,Specify other.,str,39,0,0.0,II,service_alternatif_other,Autre service (texte),character,no,
II_23,II.23 Pourquoi préférez-vous ce service ?,str,6,0,0.0,II,raison_preference_service,Raison preference service alternatif,factor,yes,
II_23_other,Specify other.,str,22,0,0.0,II,raison_preference_other,Autre raison preference (texte),character,no,
II_24,II.24 Le service est-il payant ?,object,2,2152,0.8698,II,service_payant,Service d evacuation est payant,factor,yes,
II_25_1,"II.25_1 Si oui, combien dépensez-vous en moyenne pour ce service ?",object,5,2248,0.9086,II,montant_service,Montant paye pour l evacuation,factor,yes,
II_25_2,II.25_2 A quelle fréquence payez-vous ce montant ?,object,3,2248,0.9086,II,frequence_paiement,Frequence du paiement,factor,yes,
III_1,III.1 Depuis combien de temps le ménage vit dans le quartier (en mois) ?,int64,2,0,0.0,III,duree_residence,Duree de residence dans le quartier,factor,yes,
III_2,"III.2 A votre connaissance, existe-t-il dans votre quartier des bacs à ordures",int64,3,0,0.0,III,bacs_ordures_quartier,Existence de bacs a ordures dans le quartier,factor,yes,
III_3,III.3 Quel est votre niveau de satisfaction par rapport à la disposition de ces,object,4,2229,0.901,III,satisfaction_bacs,Satisfaction disposition des bacs,factor,yes,
III_4,III.4 Pourquoi n'êtes vous pas satisfait par cette politique ?,str,5,0,0.0,III,raison_insatisf_bacs,Raison insatisfaction bacs,factor,yes,
III_4_other,Specify other.,str,15,0,0.0,III,raison_insatisf_bacs_other,Autre raison insatisfaction bacs (texte),character,no,
III_5,III.5 Avez-vous remarqué la présence des corbeilles de rue (dans la région en,int64,2,0,0.0,III,corbeilles_rue,Presence de corbeilles de rue,factor,yes,
III_6,"III.6 Si oui, comment trouvez-vous leurs dispositions ?",object,4,2015,0.8145,III,qualite_disposition_corbeilles,Qualite disposition des corbeilles,factor,yes,
III_7,"III.7 Si ""Pas bonne"" ou ""Pas du tout bonne"", pourquoi ?",str,109,0,0.0,III,raison_mauvaise_disp_corbeilles,Raison mauvaise disposition corbeilles,factor,yes,
III_8,III.8 Comment jugez-vous la qualité des corbeilles de rue ?,object,4,2038,0.8238,III,qualite_corbeilles,Qualite des corbeilles de rue,factor,yes,
III_9,"III.9 Si ""Pas bonne"" ou ""Pas du tout bonne"", pourquoi ?",str,93,0,0.0,III,raison_mauvaise_qual_corbeilles,Raison mauvaise qualite corbeilles,factor,yes,
III_10,"III.10 En général, les habitants du quartier se débarassent-ils des ordures d",int64,3,0,0.0,III,habitants_depots_sauvages,Habitants jettent ordures dans la rue,factor,yes,
III_11,III.11 Les habitants du quartier versent-ils des eaux usées dans la rue ?,int64,3,0,0.0,III,freq_eaux_usees_rue,Habitants versent eaux usees dans la rue,factor,yes,
III_12,III.12 Vous arrive-t-il de voir des dépôts sauvages dans le quartier ?,int64,3,0,0.0,III,freq_depots_sauvages,Depots sauvages visibles dans le quartier,factor,yes,
III_13,III.13 Si oui à quand remonte la dernière fois ?,object,3,1946,0.7866,III,recence_dernier_depot,Recence du dernier depot sauvage observe,factor,yes,
III_14,"III.14 Si oui, aviez-vous contacté les autorités qui s'en occupent (UCG) ?",object,2,1946,0.7866,III,contact_ucg_depot,A contacte l UCG pour depot sauvage,factor,yes,
III_15,"III.15 Si oui, quel était votre niveau de satisfaction sur le temps de réactio",object,4,2437,0.985,III,satisfaction_reaction_ucg,Satisfaction temps de reaction UCG,factor,yes,
III_16,"III.16 Si ""Pas satisfaisante"" ou ""Pas du tout satisfaisante"" pourquoi ?",str,22,0,0.0,III,raison_insatisf_ucg,Raison insatisfaction reaction UCG,factor,yes,
III_17,III.17 Les points de regroupement/dépôts sauvages de votre quartier attirent-t,str,69,0,0.0,III,nuisibles_raw,Nuisibles attires par les depots (multi-choix parent),character,no,
_v23,III_17/Moustiques,object,2,529,0.2138,III,nuis_moustiques,Nuisibles: Moustiques,numeric,yes,
_v24,III_17/Mouches,object,2,529,0.2138,III,nuis_mouches,Nuisibles: Mouches,numeric,yes,
_v25,III_17/Cafards,object,2,529,0.2138,III,nuis_cafards,Nuisibles: Cafards,numeric,yes,
_v26,III_17/Souris,object,2,529,0.2138,III,nuis_souris,Nuisibles: Souris,numeric,yes,
_v27,III_17/Vers,object,2,529,0.2138,III,nuis_vers,Nuisibles: Vers,numeric,yes,
_v28,III_17/Rats,object,2,529,0.2138,III,nuis_rats,Nuisibles: Rats,numeric,yes,
_v29,III_17/Other,object,2,529,0.2138,III,nuis_autre,Nuisibles: Autre,numeric,yes,
III_17_other,Specify other.,str,79,0,0.0,III,nuisibles_other,Autre nuisible (texte),character,no,
III_18,III.18 A votre connaissance existe-t-il un service de balayage des rues du quart,object,3,292,0.118,III,balayage_rues,Service de balayage des rues existe,factor,yes,
III_19,"III.19 Si oui, quel est votre niveau de satisfaction par rapport aux balayages ?",object,4,1799,0.7272,III,qualite_balayage,Qualite du balayage des rues,factor,yes,
III_20,"III.20 Si ""Pas bon"" ou ""Pas du tout bon"", pourquoi ?",str,62,0,0.0,III,raison_mauvais_balayage,Raison mauvais balayage,factor,yes,
III_21,III.21 Organise-t-on dans le quartier des opèrations de nettoyage (set setal) ?,int64,2,0,0.0,III,operations_nettoyage,Operations de nettoyage (set-setal) organisees,factor,yes,
III_22,III.22 Existe-t-il une place publique (hors marchés) près de votre quartier ?,int64,2,0,0.0,III,place_publique_proche,Place publique a proximite,factor,yes,
III_23,III.23 Qui gère les ordures sur cette place publique ?,str,8,0,0.0,III,gestionnaire_ordures_place,Gestionnaire des ordures sur place publique,factor,yes,
III_23_other,Specify other.,str,36,0,0.0,III,gestionnaire_place_other,Autre gestionnaire place (texte),character,no,
III_24,III.24 Comment jugez-vous l'etat de salubrité cette place ?,object,4,1602,0.6475,III,etat_salubrite_place,Etat de salubrite de la place publique,factor,yes,
III_25,III.25 Avez-vous un marché à proximité de votre quartier ?,object,2,170,0.0687,III,marche_proche,Marche a proximite du quartier,factor,yes,
III_26,"III.26 Si Oui, qui gère les ordures sur ce marché ?",str,8,0,0.0,III,gestionnaire_ordures_marche,Gestionnaire des ordures sur le marche,factor,yes,
III_26_other,Specify other.,str,44,0,0.0,III,gestionnaire_marche_other,Autre gestionnaire marche (texte),character,no,
III_27,III.27 Comment jugez-vous la gestion des ordures dans ce marché ?,object,4,988,0.3994,III,gestion_ordures_marche,Qualite gestion des ordures dans le marche,factor,yes,
III_28,III.28 Connaissez vous l'UCG,int64,2,0,0.0,III,connaissance_ucg,Connait l UCG,factor,yes,
III_29,"III.29 A votre connaissance, y a-t-il eu une campagne de sensibilisation sur la",int64,2,0,0.0,III,campagne_sensibilisation,Campagne de sensibilisation dans le quartier,factor,yes,
III_30,"III.30 Si oui, par qui ?",str,4,0,0.0,III,auteur_campagne,Auteur de la campagne de sensibilisation,factor,yes,
III_30_other,Specify other.,str,107,0,0.0,III,auteur_campagne_other,Autre auteur campagne (texte),character,no,
III_31,"III.31 Si oui, étiez-vous satisfait de cette activité de sensibilisation?",object,2,2158,0.8723,III,satisfaction_campagne,Satisfaction de la campagne de sensibilisation,factor,yes,
III_32,"III.32 Si pas satisfait, pourquoi?",str,33,0,0.0,III,raison_insatisf_campagne,Raison insatisfaction campagne,factor,yes,
III_33,"III.33 Pour une amélioration de la qualité du service, pouvez-vous nous donner",str,1756,0,0.0,III,suggestions_amelioration,Suggestions d amelioration du service,character,no,
IV_0,Maladies qu'au moins un des membres du ménage a souffert durant les 12 derniers,str,133,0,0.0,IV,maladies_raw,Maladies menage (multi-choix parent),character,no,
_v30,IV_0/Fièvre,int64,2,0,0.0,IV,mal_fievre,Maladie: Fievre,numeric,yes,
_v31,IV_0/Asthme,int64,2,0,0.0,IV,mal_asthme,Maladie: Asthme,numeric,yes,
_v32,IV_0/Rhume,int64,2,0,0.0,IV,mal_rhume,Maladie: Rhume,numeric,yes,
_v33,IV_0/Sinusite,int64,2,0,0.0,IV,mal_sinusite,Maladie: Sinusite,numeric,yes,
_v34,IV_0/Toux,int64,2,0,0.0,IV,mal_toux,Maladie: Toux,numeric,yes,
_v35,IV_0/Nausées ou vomissements,int64,2,0,0.0,IV,mal_nausees,Maladie: Nausees/vomissements,numeric,yes,
_v36,IV_0/Démangeaisons,int64,2,0,0.0,IV,mal_demangeaisons,Maladie: Demangeaisons,numeric,yes,
_v37,IV_0/Aucune maladie,int64,2,0,0.0,IV,mal_aucune,Aucune maladie declaree,numeric,yes,
_v38,IV_0/Other,int64,2,0,0.0,IV,mal_autre,Maladie: Autre,numeric,yes,
IV_0_other,Specify other.,str,143,0,0.0,IV,maladies_other,Autre maladie (texte),character,no,
IV_count,IV_count,str,8,0,0.0,IV,nb_maladies_raw,Nb maladies (comptage brut),numeric,yes,
